id,jornada,equipo_id,rival_id,dorsal,minuto
1,1,5,6,9,7
2,1,2,9,7,11
3,1,2,9,9,23
4,1,8,3,7,33
5,1,9,2,7,45
6,1,6,5,9,45
7,1,10,1,9,59
8,1,7,4,9,61
9,1,8,3,10,68
10,1,7,4,10,75
11,1,4,7,10,86
12,2,10,8,9,3
13,2,5,4,9,4
14,2,7,2,9,5
15,2,8,10,10,45
16,2,5,4,10,45
17,2,6,3,7,46
18,2,6,3,10,50
19,2,6,3,7,55
20,2,4,5,7,60
21,2,9,1,9,63
22,2,6,3,9,65
23,2,4,5,9,65
24,2,10,8,10,66
25,2,10,8,7,74
26,2,10,8,9,81
27,2,4,5,9,89
28,2,7,2,9,90
29,2,2,7,9,90
30,3,8,1,10,21
31,3,5,2,10,23
32,3,1,8,18,51
33,3,9,7,9,65
34,3,7,9,10,83
35,3,5,2,7,89
36,3,1,8,7,90
37,3,10,6,7,90
38,4,9,5,9,13
39,4,9,5,7,22
40,4,1,7,9,24
41,4,8,6,10,40
42,4,8,6,9,43
43,4,9,5,7,44
44,4,4,10,10,45
45,4,2,3,9,45
46,4,4,10,9,48
47,4,8,6,7,55
48,4,7,1,9,58
49,4,8,6,10,67
50,4,7,1,9,70
51,4,10,4,9,74
52,4,9,5,10,76
53,4,3,2,7,85
54,4,7,1,10,90
55,5,10,2,7,29
56,5,1,6,20,51
57,5,4,8,9,79
58,5,1,6,5,90
59,6,4,6,10,14
60,6,2,8,9,15
61,6,1,5,10,22
62,6,5,1,7,39
63,6,6,4,7,45
64,6,9,10,9,48
65,6,1,5,10,57
66,6,9,10,10,59
67,6,9,10,10,88
68,6,8,2,9,90
69,7,2,6,10,20
70,7,4,1,9,29
71,7,5,3,9,34
72,7,4,1,9,45
73,7,1,4,9,50
74,7,9,8,9,56
75,7,3,5,7,62
76,7,1,4,7,64
77,7,5,3,10,64
78,7,10,7,7,84
79,7,3,5,9,90
80,8,3,1,7,27
81,8,10,5,10,30
82,8,10,5,7,39
83,8,2,4,10,42
84,8,10,5,7,44
85,8,10,5,9,52
86,8,3,1,9,55
87,8,8,7,10,58
88,8,9,6,7,66
89,8,7,8,7,71
90,8,3,1,9,75
91,8,8,7,7,82
92,8,3,1,9,85
93,8,2,4,9,87
94,9,6,7,7,21
95,9,2,1,7,45
96,9,10,3,9,46
97,9,9,4,9,53
98,9,4,9,9,68
99,9,4,9,7,81
100,9,3,10,7,83
101,9,6,7,7,88
102,9,8,5,9,90
103,10,10,1,9,6
104,10,1,10,9,13
105,10,4,7,10,18
106,10,1,10,9,66
107,10,5,6,9,67
108,10,8,3,9,70
109,10,10,1,7,74
110,10,7,4,9,77
111,10,2,9,7,90
112,10,8,3,9,90
113,11,3,6,10,3
114,11,7,2,7,42
115,11,9,1,7,46
116,11,8,10,9,48
117,11,4,5,9,52
118,11,4,5,9,75
119,11,7,2,10,83
120,11,3,6,10,84
121,11,7,2,10,88
122,11,1,9,8,90
123,11,3,6,9,90
124,12,3,4,10,7
125,12,6,10,10,13
126,12,3,4,9,16
127,12,8,1,9,19
128,12,6,10,9,33
129,12,1,8,8,45
130,12,6,10,7,45
131,12,4,3,7,45
132,12,6,10,10,56
133,12,4,3,7,70
134,12,5,2,10,75
135,12,6,10,7,79
136,12,6,10,7,87
137,12,9,7,10,88
138,13,8,6,9,3
139,13,6,8,7,7
140,13,9,5,9,7
141,13,6,8,9,21
142,13,6,8,7,25
143,13,3,2,9,31
144,13,5,9,10,39
145,13,4,10,7,49
146,13,6,8,10,58
147,13,1,7,8,82
148,13,3,2,7,90
149,14,10,2,9,5
150,14,7,5,9,6
151,14,10,2,7,10
152,14,1,6,7,11
153,14,3,9,10,13
154,14,8,4,10,15
155,14,9,3,7,16
156,14,3,9,9,37
157,14,2,10,9,45
158,14,8,4,7,54
159,14,10,2,9,54
160,14,1,6,14,57
161,14,7,5,7,62
162,14,1,6,7,74
163,14,4,8,10,77
164,14,3,9,9,77
165,14,2,10,7,84
166,14,6,1,9,90
167,14,9,3,10,90
168,14,3,9,7,90
169,15,5,1,10,9
170,15,1,5,10,30
171,15,7,3,10,36
172,15,5,1,9,39
173,15,3,7,9,53
174,15,5,1,9,54
175,15,7,3,9,56
176,15,3,7,9,59
177,15,9,10,9,61
178,15,1,5,10,62
179,15,10,9,10,75
180,15,6,4,9,76
181,15,10,9,7,81
182,15,8,2,7,82
183,15,1,5,7,85
184,15,9,10,10,89
185,15,1,5,10,90
186,15,4,6,10,90
187,16,7,10,10,9
188,16,6,2,9,13
189,16,7,10,7,45
190,16,9,8,9,49
191,16,1,4,11,62
192,16,10,7,9,62
193,16,6,2,7,65
194,16,2,6,9,69
195,16,7,10,7,81
196,16,2,6,7,90
197,16,6,2,10,90
198,17,1,3,11,2
199,17,8,7,9,8
200,17,7,8,7,21
201,17,2,4,7,45
202,17,2,4,7,77
203,17,4,2,7,78
204,17,7,8,9,90
205,18,6,7,10,5
206,18,2,1,9,13
207,18,10,3,9,28
208,18,8,5,10,32
209,18,4,9,10,33
210,18,8,5,7,38
211,18,2,1,7,43
212,18,3,10,7,43
213,18,7,6,7,48
214,18,7,6,9,62
215,18,4,9,7,72
216,18,9,4,9,79
217,18,4,9,9,80
218,18,8,5,7,82
219,18,3,10,9,90
220,18,7,6,10,90
