id,jornada,fecha,local_id,visita_id,goles_local,goles_visita
1,1,2026-04-26,1,10,0,1
2,1,2026-04-26,9,2,1,2
3,1,2026-04-26,3,8,0,2
4,1,2026-04-26,7,4,2,1
5,1,2026-04-26,5,6,1,1
6,2,2026-05-03,9,1,1,0
7,2,2026-05-03,10,8,4,1
8,2,2026-05-03,7,2,2,1
9,2,2026-05-03,3,6,0,4
10,2,2026-05-03,5,4,2,3
11,3,2026-05-10,1,8,2,1
12,3,2026-05-10,7,9,1,1
13,3,2026-05-10,10,6,1,0
14,3,2026-05-10,5,2,2,0
15,3,2026-05-10,3,4,0,0
16,4,2026-05-17,7,1,3,1
17,4,2026-05-17,8,6,4,0
18,4,2026-05-17,5,9,0,4
19,4,2026-05-17,10,4,1,2
20,4,2026-05-17,3,2,1,1
21,5,2026-05-24,1,6,2,0
22,5,2026-05-24,5,7,0,0
23,5,2026-05-24,8,4,0,1
24,5,2026-05-24,3,9,0,0
25,5,2026-05-24,10,2,1,0
26,6,2026-05-31,5,1,1,2
27,6,2026-05-31,6,4,1,1
28,6,2026-05-31,3,7,0,0
29,6,2026-05-31,8,2,1,1
30,6,2026-05-31,10,9,0,3
31,7,2026-06-07,1,4,2,2
32,7,2026-06-07,3,5,2,2
33,7,2026-06-07,6,2,0,1
34,7,2026-06-07,10,7,1,0
35,7,2026-06-07,8,9,0,1
36,8,2026-06-14,3,1,4,0
37,8,2026-06-14,4,2,0,2
38,8,2026-06-14,10,5,4,0
39,8,2026-06-14,6,9,0,1
40,8,2026-06-14,8,7,2,1
41,9,2026-06-21,1,2,0,1
42,9,2026-06-21,10,3,1,1
43,9,2026-06-21,4,9,2,1
44,9,2026-06-21,8,5,1,0
45,9,2026-06-21,6,7,2,0
46,10,2026-06-28,10,1,2,2
47,10,2026-06-28,2,9,1,0
48,10,2026-06-28,8,3,2,0
49,10,2026-06-28,4,7,1,1
50,10,2026-06-28,6,5,0,1
51,11,2026-07-05,1,9,1,1
52,11,2026-07-05,8,10,1,0
53,11,2026-07-05,2,7,0,3
54,11,2026-07-05,6,3,0,3
55,11,2026-07-05,4,5,2,0
56,12,2026-07-12,8,1,1,1
57,12,2026-07-12,9,7,1,0
58,12,2026-07-12,6,10,6,0
59,12,2026-07-12,2,5,0,1
60,12,2026-07-12,4,3,2,2
61,13,2026-07-19,1,7,1,0
62,13,2026-07-19,6,8,4,1
63,13,2026-07-19,9,5,1,1
64,13,2026-07-19,4,10,1,0
65,13,2026-07-19,2,3,0,2
66,14,2026-07-26,6,1,1,3
67,14,2026-07-26,7,5,2,0
68,14,2026-07-26,4,8,1,2
69,14,2026-07-26,9,3,2,4
70,14,2026-07-26,2,10,2,3
71,15,2026-08-02,1,5,4,3
72,15,2026-08-02,4,6,1,1
73,15,2026-08-02,7,3,2,2
74,15,2026-08-02,2,8,0,1
75,15,2026-08-02,9,10,2,2
76,16,2026-08-09,4,1,0,1
77,16,2026-08-09,5,3,0,0
78,16,2026-08-09,2,6,2,3
79,16,2026-08-09,7,10,3,1
80,16,2026-08-09,9,8,1,0
81,17,2026-08-16,1,3,1,0
82,17,2026-08-16,2,4,2,1
83,17,2026-08-16,5,10,0,0
84,17,2026-08-16,9,6,0,0
85,17,2026-08-16,7,8,2,1
86,18,2026-08-23,2,1,2,0
87,18,2026-08-23,3,10,2,1
88,18,2026-08-23,9,4,1,3
89,18,2026-08-23,5,8,0,3
90,18,2026-08-23,7,6,3,1
