id,dorsal,fecha,rpe
1,1,2026-07-26,7
2,2,2026-07-26,7
3,3,2026-07-26,8
4,4,2026-07-26,9
5,7,2026-07-26,9
6,8,2026-07-26,8
7,9,2026-07-26,5
8,11,2026-07-26,5
9,12,2026-07-26,6
10,14,2026-07-26,7
11,16,2026-07-26,8
12,17,2026-07-26,5
13,18,2026-07-26,5
14,23,2026-07-26,7
15,1,2026-07-28,5
16,2,2026-07-28,7
17,3,2026-07-28,6
18,4,2026-07-28,5
19,5,2026-07-28,5
20,6,2026-07-28,6
21,7,2026-07-28,5
22,8,2026-07-28,6
23,9,2026-07-28,6
24,10,2026-07-28,6
25,11,2026-07-28,5
26,12,2026-07-28,4
27,13,2026-07-28,4
28,14,2026-07-28,6
29,15,2026-07-28,5
30,16,2026-07-28,5
31,17,2026-07-28,5
32,18,2026-07-28,5
33,19,2026-07-28,5
34,20,2026-07-28,5
35,21,2026-07-28,5
36,22,2026-07-28,5
37,23,2026-07-28,6
38,25,2026-07-28,6
39,2,2026-07-29,6
40,3,2026-07-29,5
41,4,2026-07-29,4
42,5,2026-07-29,5
43,6,2026-07-29,6
44,7,2026-07-29,6
45,8,2026-07-29,6
46,10,2026-07-29,5
47,11,2026-07-29,5
48,13,2026-07-29,5
49,14,2026-07-29,5
50,15,2026-07-29,4
51,16,2026-07-29,4
52,17,2026-07-29,4
53,19,2026-07-29,4
54,20,2026-07-29,4
55,21,2026-07-29,4
56,22,2026-07-29,3
57,23,2026-07-29,5
58,25,2026-07-29,5
59,1,2026-07-30,6
60,2,2026-07-30,6
61,4,2026-07-30,5
62,5,2026-07-30,4
63,6,2026-07-30,5
64,7,2026-07-30,6
65,8,2026-07-30,6
66,9,2026-07-30,4
67,10,2026-07-30,5
68,11,2026-07-30,5
69,13,2026-07-30,5
70,14,2026-07-30,3
71,15,2026-07-30,5
72,16,2026-07-30,5
73,17,2026-07-30,5
74,19,2026-07-30,4
75,20,2026-07-30,4
76,21,2026-07-30,4
77,22,2026-07-30,5
78,23,2026-07-30,4
79,25,2026-07-30,6
80,1,2026-07-31,4
81,2,2026-07-31,4
82,3,2026-07-31,5
83,4,2026-07-31,3
84,5,2026-07-31,4
85,7,2026-07-31,2
86,8,2026-07-31,5
87,9,2026-07-31,3
88,10,2026-07-31,3
89,11,2026-07-31,4
90,12,2026-07-31,5
91,13,2026-07-31,2
92,14,2026-07-31,4
93,15,2026-07-31,2
94,16,2026-07-31,4
95,17,2026-07-31,4
96,18,2026-07-31,3
97,19,2026-07-31,4
98,21,2026-07-31,4
99,22,2026-07-31,3
100,23,2026-07-31,4
101,25,2026-07-31,2
102,1,2026-08-02,9
103,2,2026-08-02,9
104,3,2026-08-02,8
105,4,2026-08-02,7
106,5,2026-08-02,6
107,7,2026-08-02,5
108,8,2026-08-02,10
109,9,2026-08-02,6
110,16,2026-08-02,8
111,17,2026-08-02,8
112,19,2026-08-02,7
113,20,2026-08-02,7
114,22,2026-08-02,6
115,23,2026-08-02,9
116,1,2026-08-04,6
117,2,2026-08-04,7
118,3,2026-08-04,4
119,4,2026-08-04,6
120,5,2026-08-04,5
121,6,2026-08-04,5
122,7,2026-08-04,5
123,8,2026-08-04,7
124,9,2026-08-04,6
125,11,2026-08-04,7
126,12,2026-08-04,5
127,13,2026-08-04,6
128,14,2026-08-04,5
129,15,2026-08-04,5
130,16,2026-08-04,5
131,17,2026-08-04,5
132,18,2026-08-04,6
133,19,2026-08-04,5
134,20,2026-08-04,4
135,21,2026-08-04,4
136,22,2026-08-04,4
137,23,2026-08-04,6
138,2,2026-08-05,5
139,3,2026-08-05,4
140,4,2026-08-05,4
141,5,2026-08-05,5
142,7,2026-08-05,5
143,8,2026-08-05,7
144,9,2026-08-05,5
145,10,2026-08-05,5
146,11,2026-08-05,5
147,12,2026-08-05,6
148,13,2026-08-05,5
149,14,2026-08-05,4
150,15,2026-08-05,3
151,16,2026-08-05,6
152,17,2026-08-05,3
153,18,2026-08-05,6
154,19,2026-08-05,5
155,20,2026-08-05,6
156,21,2026-08-05,6
157,22,2026-08-05,5
158,2,2026-08-06,5
159,4,2026-08-06,5
160,5,2026-08-06,4
161,6,2026-08-06,4
162,7,2026-08-06,4
163,8,2026-08-06,8
164,9,2026-08-06,4
165,10,2026-08-06,6
166,11,2026-08-06,5
167,12,2026-08-06,4
168,13,2026-08-06,6
169,14,2026-08-06,5
170,15,2026-08-06,6
171,16,2026-08-06,6
172,17,2026-08-06,7
173,18,2026-08-06,4
174,20,2026-08-06,6
175,21,2026-08-06,6
176,22,2026-08-06,6
177,23,2026-08-06,5
178,1,2026-08-07,4
179,2,2026-08-07,3
180,3,2026-08-07,3
181,4,2026-08-07,4
182,5,2026-08-07,5
183,6,2026-08-07,3
184,7,2026-08-07,4
185,8,2026-08-07,6
186,9,2026-08-07,3
187,10,2026-08-07,5
188,11,2026-08-07,5
189,12,2026-08-07,5
190,13,2026-08-07,3
191,14,2026-08-07,4
192,15,2026-08-07,3
193,16,2026-08-07,4
194,17,2026-08-07,4
195,19,2026-08-07,5
196,20,2026-08-07,4
197,21,2026-08-07,4
198,22,2026-08-07,3
199,23,2026-08-07,3
200,25,2026-08-07,3
201,1,2026-08-09,9
202,2,2026-08-09,6
203,5,2026-08-09,7
204,8,2026-08-09,9
205,9,2026-08-09,8
206,10,2026-08-09,5
207,11,2026-08-09,8
208,14,2026-08-09,7
209,15,2026-08-09,8
210,19,2026-08-09,6
211,21,2026-08-09,9
212,23,2026-08-09,8
213,1,2026-08-11,5
214,2,2026-08-11,5
215,5,2026-08-11,6
216,6,2026-08-11,5
217,7,2026-08-11,5
218,9,2026-08-11,6
219,10,2026-08-11,6
220,11,2026-08-11,6
221,12,2026-08-11,4
222,13,2026-08-11,5
223,14,2026-08-11,7
224,15,2026-08-11,6
225,16,2026-08-11,5
226,17,2026-08-11,4
227,18,2026-08-11,5
228,19,2026-08-11,5
229,20,2026-08-11,6
230,21,2026-08-11,6
231,22,2026-08-11,4
232,23,2026-08-11,5
233,25,2026-08-11,4
234,1,2026-08-12,3
235,2,2026-08-12,5
236,3,2026-08-12,5
237,4,2026-08-12,6
238,6,2026-08-12,5
239,7,2026-08-12,5
240,9,2026-08-12,5
241,10,2026-08-12,5
242,11,2026-08-12,4
243,12,2026-08-12,4
244,14,2026-08-12,7
245,15,2026-08-12,4
246,16,2026-08-12,6
247,17,2026-08-12,4
248,18,2026-08-12,5
249,19,2026-08-12,5
250,21,2026-08-12,4
251,22,2026-08-12,4
252,23,2026-08-12,5
253,25,2026-08-12,4
254,1,2026-08-13,6
255,2,2026-08-13,5
256,3,2026-08-13,5
257,4,2026-08-13,6
258,5,2026-08-13,4
259,6,2026-08-13,4
260,7,2026-08-13,5
261,9,2026-08-13,6
262,10,2026-08-13,5
263,11,2026-08-13,5
264,12,2026-08-13,4
265,13,2026-08-13,6
266,14,2026-08-13,5
267,15,2026-08-13,6
268,16,2026-08-13,4
269,17,2026-08-13,5
270,18,2026-08-13,5
271,19,2026-08-13,4
272,20,2026-08-13,4
273,21,2026-08-13,4
274,23,2026-08-13,5
275,25,2026-08-13,4
276,2,2026-08-14,3
277,3,2026-08-14,4
278,4,2026-08-14,4
279,5,2026-08-14,3
280,7,2026-08-14,4
281,9,2026-08-14,3
282,10,2026-08-14,4
283,11,2026-08-14,3
284,12,2026-08-14,3
285,13,2026-08-14,2
286,14,2026-08-14,3
287,15,2026-08-14,4
288,16,2026-08-14,3
289,17,2026-08-14,4
290,18,2026-08-14,5
291,20,2026-08-14,3
292,21,2026-08-14,4
293,23,2026-08-14,3
294,25,2026-08-14,3
295,1,2026-08-16,8
296,2,2026-08-16,7
297,6,2026-08-16,9
298,9,2026-08-16,7
299,10,2026-08-16,8
300,11,2026-08-16,9
301,12,2026-08-16,7
